Top pages,Clicks,Impressions,CTR,Position
https://www.eternaportrait.com/blog/eterna-portrait-immortalize-pet-love-story-custom-art,2,9,22.22%,6.67
https://www.eternaportrait.com/blog/choose-quality-pet-photo-prints-that-last,0,45,0%,7.24
https://www.eternaportrait.com/blog/how-to-choose-perfect-custom-pet-portrait-guide,0,17,0%,9.24
https://www.eternaportrait.com/order?plan=signature,0,9,0%,4.56
https://www.eternaportrait.com/blog/custom-pet-portrait-perfect-christmas-gift,0,7,0%,6.86
https://www.eternaportrait.com/,0,5,0%,7.4
https://www.eternaportrait.com/blog/perfect-pet-photo-tips,0,3,0%,7.33
https://www.eternaportrait.com/blog/ultimate-gift-custom-pet-portrait,0,3,0%,9
https://www.eternaportrait.com/contact,0,3,0%,82.67
https://www.eternaportrait.com/refunds,0,2,0%,4
https://www.eternaportrait.com/shipping,0,1,0%,7
https://eternaportrait.com/blog/how-we-create-custom-pet-portraits,0,1,0%,12
